Time,"Theta - radians (5 m, 20 degrees)","Theta - degrees (5 m, 20 degrees)","Theta - radians (5 m, 15 degrees)","Theta - degrees (5 m, 15 degrees)","Theta - radians (2.5 m, 20 degrees)","Theta - degrees (2.5 m, 20 degrees)","Theta - radians (2.5 m, 15 degrees)","Theta - degrees (2.5 m, 15 degrees)"
0.91875,5.614440992,0.097990481,4.210830744,0.073492861,-4.913885711,-0.085763485,-3.685414283,-0.064322614
0.946153846,4.874036629,0.085067987,3.655527472,0.06380099,-5.958013354,-0.10398695,-4.468510016,-0.077990212
0.95,4.769521069,0.083243846,3.577140802,0.062432885,-6.103224233,-0.106521358,-4.577418174,-0.079891018
0.925,5.446265115,0.095055258,4.084698836,0.071291444,-5.153404608,-0.089943878,-3.865053456,-0.067457909
0.95,4.769521069,0.083243846,3.577140802,0.062432885,-6.103224233,-0.106521358,-4.577418174,-0.079891018
0.95,4.769521069,0.083243846,3.577140802,0.062432885,-6.103224233,-0.106521358,-4.577418174,-0.079891018
0.95,4.769521069,0.083243846,3.577140802,0.062432885,-6.103224233,-0.106521358,-4.577418174,-0.079891018
0.9625,4.428906171,0.077298995,3.321679628,0.057974246,-6.572671899,-0.114714765,-4.929503925,-0.086036074
0.96875,4.258083567,0.074317578,3.193562675,0.055738184,-6.805904025,-0.118785434,-5.104428019,-0.089089075
0.996153846,3.50541842,0.061181093,2.629063815,0.04588582,-7.815762811,-0.136410795,-5.861822108,-0.102308096
1,3.399342858,0.059329725,2.549507144,0.044497294,-7.955723978,-0.138853578,-5.966792983,-0.104140183
0.975,4.086934955,0.071330471,3.065201217,0.053497853,-7.03809401,-0.122837914,-5.278570508,-0.092128435
1,3.399342858,0.059329725,2.549507144,0.044497294,-7.955723978,-0.138853578,-5.966792983,-0.104140183
1,3.399342858,0.059329725,2.549507144,0.044497294,-7.955723978,-0.138853578,-5.966792983,-0.104140183
1,3.399342858,0.059329725,2.549507144,0.044497294,-7.955723978,-0.138853578,-5.966792983,-0.104140183
1.0125,3.053932546,0.053301178,2.290449409,0.039975884,-8.407369815,-0.146736285,-6.305527361,-0.110052214
1.01875,2.880870051,0.050280668,2.160652538,0.037710501,-8.631278932,-0.150644236,-6.473459199,-0.112983177
1.046153846,2.119630674,0.036994534,1.589723005,0.027745901,-9.596980324,-0.167498905,-7.197735243,-0.125624179
1.05,2.012514668,0.035125007,1.509386001,0.026343755,-9.73032128,-0.169826144,-7.29774096,-0.127369608
1.025,2.707586991,0.047256308,2.030690243,0.035442231,-8.853866401,-0.15452912,-6.640399801,-0.11589684
1.05,2.012514668,0.035125007,1.509386001,0.026343755,-9.73032128,-0.169826144,-7.29774096,-0.127369608
1.05,2.012514668,0.035125007,1.509386001,0.026343755,-9.73032128,-0.169826144,-7.29774096,-0.127369608
1.05,2.012514668,0.035125007,1.509386001,0.026343755,-9.73032128,-0.169826144,-7.29774096,-0.127369608
1.0625,1.664000761,0.029042292,1.24800057,0.021781719,-10.15974277,-0.177320963,-7.619807079,-0.132990722
1.06875,1.489546035,0.025997483,1.117159526,0.019498112,-10.37213636,-0.18102793,-7.779102271,-0.135770947
1.096153846,0.723460977,0.012626776,0.542595733,0.009470082,-11.28422421,-0.196946866,-8.463168159,-0.14771015
1.1,0.615829182,0.010748247,0.461871886,0.008061185,-11.40963928,-0.199135772,-8.557229462,-0.149351829
1.075,1.314977266,0.022950683,0.98623295,0.017213012,-10.58294174,-0.184707178,-7.937206304,-0.138530383
1.1,0.615829182,0.010748247,0.461871886,0.008061185,-11.40963928,-0.199135772,-8.557229462,-0.149351829
1.1,0.615829182,0.010748247,0.461871886,0.008061185,-11.40963928,-0.199135772,-8.557229462,-0.149351829
1.1,0.615829182,0.010748247,0.461871886,0.008061185,-11.40963928,-0.199135772,-8.557229462,-0.149351829
1.1125,0.2659187,0.004641157,0.199439025,0.003480868,-11.81263153,-0.206169314,-8.85947365,-0.154626985
1.11875,0.090926223,0.001586962,0.068194667,0.001190221,-12.01142984,-0.209638999,-9.008572379,-0.157229249
1.146153846,-0.676252231,-0.011802828,-0.507189173,-0.008852121,-12.86097299,-0.224466324,-9.645729739,-0.168349743
1.15,-0.783872635,-0.013681158,-0.587904477,-0.010260869,-12.97723411,-0.226495463,-9.732925579,-0.169871597
1.125,-0.084073216,-0.001467354,-0.063054912,-0.001100516,-12.20838892,-0.213076583,-9.156291688,-0.159807437
1.15,-0.783872635,-0.013681158,-0.587904477,-0.010260869,-12.97723411,-0.226495463,-9.732925579,-0.169871597
1.15,-0.783872635,-0.013681158,-0.587904477,-0.010260869,-12.97723411,-0.226495463,-9.732925579,-0.169871597
1.15,-0.783872635,-0.013681158,-0.587904477,-0.010260869,-12.97723411,-0.226495463,-9.732925579,-0.169871597
1.1625,-1.133465829,-0.019782711,-0.850099372,-0.014837033,-13.34985102,-0.232998855,-10.01238826,-0.174749141
1.16875,-1.308138946,-0.022831332,-0.981104209,-0.017123499,-13.5331074,-0.236197282,-10.14983055,-0.177147962
1.196153846,-2.072653156,-0.036174622,-1.554489867,-0.027130966,-14.31178712,-0.249787807,-10.73384034,-0.187340855
1.2,-2.179735045,-0.038043553,-1.634801284,-0.028532665,-14.41775586,-0.251637311,-10.8133169,-0.188727983
1.175,-1.482711908,-0.025878205,-1.112033931,-0.019408653,-13.71429156,-0.239359542,-10.28571867,-0.179519657
1.2,-2.179735045,-0.038043553,-1.634801284,-0.028532665,-14.41775586,-0.251637311,-10.8133169,-0.188727983
1.2,-2.179735045,-0.038043553,-1.634801284,-0.028532665,-14.41775586,-0.251637311,-10.8133169,-0.188727983
1.2,-2.179735045,-0.038043553,-1.634801284,-0.028532665,-14.41775586,-0.251637311,-10.8133169,-0.188727983
1.2125,-2.527298644,-0.044109683,-1.895473983,-0.033082262,-14.75634877,-0.257546872,-11.06726158,-0.193160154
1.21875,-2.70079685,-0.047137797,-2.025597638,-0.035353348,-14.92226879,-0.260442722,-11.19170159,-0.195332042
1.246153846,-3.458902227,-0.060369232,-2.59417667,-0.045276924,-15.62246025,-0.272663369,-11.71684518,-0.204497526
