"Time","Observation"
1.0625,95.340220683745
1.06875,85.3447011730983
1.09615384615385,41.4512606306191
1.1,35.284413009501
1.075,75.3426475004577
1.1,35.284413009501
1.1,35.284413009501
1.1,35.284413009501
1.1125,15.2360192230626
1.11875,5.20968880606687
1.14615384615385,-38.7463987242767
1.15,-44.9125936876413
1.125,-4.81704047518343
1.15,-44.9125936876413
1.15,-44.9125936876413
1.15,-44.9125936876413
1.1625,-64.9428082520565
1.16875,-74.9508406140976
1.19615384615385,-118.754278237848
1.2,-124.889618523653
1.175,-84.9531345890162
1.2,-124.889618523653
1.2,-124.889618523653
1.2,-124.889618523653
1.2125,-144.803545885254
1.21875,-154.744260854901
1.24615384615385,-198.180499356767
1.25,-204.254934071399
1.225,-164.673128292667
1.25,-204.254934071399
1.25,-204.254934071399
1.25,-204.254934071399
1.2625,-223.955035824058
1.26875,-233.779743784425
1.29615384615385,-276.636032490227
1.3,-282.619809055531
1.275,-243.586553097356
1.3,-282.619809055531
1.3,-282.619809055531
1.3,-282.619809055531
1.3125,-302.009594110842
1.31875,-311.670173647315
1.34615384615385,-353.736602476681
1.35,-359.600412358072
1.325,-321.306891088366
1.35,-359.600412358072
1.35,-359.600412358072
1.35,-359.600412358072
1.3625,-378.584909558656
1.36875,-388.034043157561
1.39615384615385,-429.104570763394
1.4,-434.819693023043
1.375,-397.453468089585
1.4,-434.819693023043
1.4,-434.819693023043
1.4,-434.819693023043
1.4125,-453.305916311228
1.41875,-462.497322120983
1.44615384615385,-502.370785079874
1.45,-507.909227051848
1.425,-471.653318205435
1.45,-507.909227051848
1.45,-507.909227051848
1.45,-507.909227051848
1.4625,-525.806630915334
1.46875,-534.695289434939
1.49615384615385,-573.176387545514
1.5,-578.51102194384
1.475,-543.543010607636
1.5,-578.51102194384
1.5,-578.51102194384
1.5,-578.51102194384
1.5125,-595.731944907568
1.51875,-604.274319492097
1.54615384615385,-641.174572355303
1.55,-646.2792701434
1.525,-612.770429619217
1.55,-646.2792701434
1.55,-646.2792701434
1.55,-646.2792701434
1.5625,-662.739364135419
1.56875,-670.893614238483
1.59615384615385,-706.032284434489
1.6,-710.882042805177
1.575,-678.996499376927
1.6,-710.882042805177
1.6,-710.882042805177
1.6,-710.882042805177
1.6125,-726.500686293451
