"Time","Observation"
1.39615384615385,-18.5928931301173
1.4,-18.6484695309301
1.375,-18.2680403164909
1.4,-18.6484695309301
1.4,-18.6484695309301
1.4,-18.6484695309301
1.4125,-18.8216082499758
1.41875,-18.9038610945729
1.44615384615385,-19.230179703144
1.45,-19.2714697212724
1.425,-18.9832193223766
1.45,-19.2714697212724
1.45,-19.2714697212724
1.45,-19.2714697212724
1.4625,-19.3979325034094
1.46875,-19.4567132164586
1.49615384615385,-19.6791643703512
1.5,-19.7057636939674
1.475,-19.5125146583136
1.5,-19.7057636939674
1.5,-19.7057636939674
1.5,-19.7057636939674
1.5125,-19.7843122157239
1.51875,-19.8190452165254
